Year	Month	Dengue	RainFall	RainDays	Tem	RelHumid	PrIndex	CnIndex
2020	1	1080	115.60000308603	4	28.25	74.35	7.54679839765636	6.24832514205396
2020	2	334	0.100000001490116	0	29.15	71.2	5.61319833510265	4.21093397941062
2020	3	61	41.2999998703599	7	29.4	75.8	4.73499883570535	5.76767936269936
2020	4	7	212.500003129244	15	29.25	79.4	9.22056976254439	7.93682403293577
2020	5	183	200.199998497963	18	29.3	82.05	6.47868719018068	7.44949679391334
2020	6	169	111.900000862777	15	28.95	80.05	8.01322759906165	6.77102976130738
2020	7	90	196.10000102222	14	28.35	82.15	9.12668591205915	8.30125039498343
2020	8	109	97.500000320375	9	28.5	80.25	6.60892155202169	5.49690711126472
2020	9	80	517.700002327561	24	27.6	84.5	9.34442708185259	4.78876154622785
2020	10	46	125.59999987483	12	28.4	81.3	7.35030698715994	6.12641125740579
2020	11	30	143.600000537932	18	28.15	81.95	6.94320109892586	8.44643491274926
2020	12	67	321.899994686246	13	27.65	80.1	9.11256805146234	6.01094683898137
2021	1	98	132.400000818074	13	27.35	75	7.9793868959521	6.60792811877692
2021	2	170	45.8999991938472	3	28.05	74.1	5.01077975782963	4.43011692763823
2021	3	245	148.599999979138	15	28	80.65	8.74128428926818	8.61992944033903
2021	4	309	325.600001998246	15	28.7	80.3	8.90563625967253	6.51277639079062
2021	5	223	351.400000721216	20	28.7	81.65	6.22231995803528	5.59665669917851
2021	6	549	317.30000654608	21	28.65	81	11.0204149386589	9.37682027974674
2021	7	379	278.30000282079	16	28.3	82.35	8.72712741050286	6.62406686316609
2021	8	116	164.000001996756	14	28	82.5	9.10761574334608	8.44379864043305
2021	9	140	189.399999149144	21	28.15	83.05	9.64799184589539	8.94744672150621
2021	10	259	324.199999004602	28	27.8	84.8	10.2444637613935	6.23705734534091
2021	11	377	483.399998411536	21	27.05	86.1	9.41339910141965	3.94073161192233
2021	12	1062	95.6000003367662	9	27.85	78.75	6.54689736928592	6.01096384892663
2022	1	616	76.299998536706	5	28.05	75.6	5.2266325176376	5.01022155777311
2022	2	161	24.9000006467104	5	28.1	73.5	5.50998020453059	4.71909663453662
2022	3	151	54.9000015035272	4	29.15	76.3	4.96865756078058	4.47114373873948
2022	4	166	474.199997477233	18	28.55	82.9	7.01210146454182	3.55506150503823
2022	5	452	351.700000554323	27	28.7	83	9.47720349867861	5.81247878286278
2022	6	751	90.999999076128	19	28.65	83.1	6.51307471318517	6.40591525805397
2022	7	730	12.5000000745058	9	28.4	81.05	5.71428571428571	8.19672131147541
2022	8	286	113.1000020504	15	28.05	81.05	7.86666666666667	6.75268817204301
2022	9	193	98.7000004500151	10	28.2	80.65	7.11656441717791	5.82329317269076
2022	10	211	506.599999643862	19	27.5	84.25	6.93703308431163	2.89378493916475
2022	11	235	276.600003242493	14	27.5	81.8	8.76068376068376	4.739336492891
2022	12	480	309.600001528859	13	27.05	80.85	8.72765509989485	3.73432915444118
2023	1	476	114.899997070432	7	27.1	75.85	7.56218905472637	8.52534562211982
2023	2	448	79.2999989539385	9	27.8	77.55	10.7502799552072	12.2762148337596
2023	3	298	208.000003695488	13	28.3	80.45	10.5383734249714	10.7971745711403
2023	4	282	261.700003027916	17	28.8	80.8	10.2255639097744	12.8654970760234
2023	5	437	322.000002726913	21	29	82.7	12.984496124031	11.5038560411311
2023	6	467	104.40000063926	21	29	82.05	11.3022113022113	11.1038536903984
2023	7	242	102.399999454618	11	28.7	81.8	7.19729043183743	4.62060194997881
2023	8	138	82.2999992966652	9	29.3	78.35	5.21148036253777	4.06309751434034
2023	9	68	722.200007736683	26	27.55	86.3	7.47899159663866	4.6009062391077
2023	10	267	636.599996805191	27	27.45	87.05	9.55555555555556	2.23244334754319
2023	11	405	421.699998617172	23	27.95	85.55	9.90899898887765	5.35183349851338
2023	12	388	337.50000166893	25	28.25	83.95	11.0696517412935	5.18315474707202
2024	1	762	191.10000077635	9	28.15	77.55	4.9	2.30483271375465
2024	2	359	7.39999993145466	2	29.4	74.2	5.9	3.85508592661403
2024	3	170	63.5999997854233	6	29.75	75.7	3.59028511087645	2.56016385048643
2024	4	117	362.999996960163	19	29.9	81	4.60674157303371	3.03030303030303
2024	5	185	533.899996653199	21	29.1	83.8	10.2564102564103	3.48783845800826
2024	6	391	353.400000669062	24	28.8	84.35	9.65417867435158	7.89343857918106
2024	7	427	277.99999897927	19	28.7	84.2	6.91318327974277	4.17910447761194
2024	8	361	341.000006325543	21	28.75	83.25	6.09540636042403	5.38321167883212
2024	9	245	216.00000013411	18	29.05	80.1	4.31211498973306	4.53421269579555
2024	10	227	714.49999755621	23	27.95	85.4	4.56389452332657	5.71776155717762
2024	11	340	302.099999047816	23	27.75	83.4	7.15447154471545	6.17577197149644
2024	12	362	78.3000001013279	12	28.2	79.75	3.8659793814433	4.38382854359474
